id_buku,id_ddc,id_jenisbuku,id_sumberbuku,judul_buku,penerbit,pengarang,isbn,thn_terbit,tinggi_buku,tgl_penerimaan,jml_halaman,jml_eksemplar,stok_buku,rak_buku,gambar_buku
,17,,,Advokasi Pencegahan Penyalahgunaan Narkoba,BNN Kab. Purbalingga,BNN Kab. Purbalingga,,2012,,,,,,,
,,,,Al-Qur'an,,,,,,,,,,,
,17,,,Anamnesia Dan Pemeriksaan Fisik,Erlangga Jakarta,Janathan 61,,35,,,,,,,
,17,,,Anatomi Dan Fisiologi Untuk Mahasisawa Keperawatan,Buku Kedokteran ,Drs. H. Syaiful,,32,,,,,,,
,17,,,Anatomi Dan Fisologi Manusia ,Numed Yogyakarta,Zuyina L,,31,,,,,,,
,17,,,Anatomi Dan Fisologi Untuk Paramedis,Gramedia Jakarta,Evelyn C.P,,39,,,,,,,
,17,,,Anatomi Fisiologi,Pilar Utama Mandiri Jaktim ,"Rudi Fahru, Adi Setiawan",,2018,,,,,,,
,17,,,Asuhan Keperawatan Praktis,Mediaction Yogyakarta,Amin Huda,,36,,,,,,,
,13,,,Atas Singgasana,Gama Media Jakarta ,Abidah El. K,,35,,,,,,,
,13,,,Atheis,Balai Pustaka Jakarta,Achdiat K,,35,,,,,,,
,12,,,Bahasa Indoenesia XI (1),Erlangga Jakarta,Husin ,,2012,,,,,,,
,12,,,Bahasa Indoenesia XII (2),Erlangga Jakarta,Husin ,,39,,,,,,,
,12,,,Bahasa Indonesia X,Kemendikbud Jakarta ,Kemendikbud,,2017,,,,,,,
,12,,,Bahasa Indonesia X (1),Erlangga Jakarta,Ahinad Iskak,,38,,,,,,,
,12,,,Bahasa Indonesia XI,Kemendikbud Jakarta ,Kemendikbud,,2017,,,,,,,
,,,,Bahasa Inggris X,,,,,,,,,,,
,,,,Bahasa Inggris XI,,,,,,,,,,,
,,,,Biologi 2,,,,,,,,,,,
,,,,Biologi 3,,,,,,,,,,,
,,,,Biologi X,,,,,,,,,,,
,13,,,Bukan Milik Kami ,Balai Pustaka Jakarta,Syamsul Arifin,,1998,,,,,,,
,13,,,Dan Perangpun Sia,Pustaka Jaya Jakarta,Ismail Maha,,35,,,,,,,
,13,,,Dari Avemaria Kejalan Lain Roma,Balai Pustaka Jakarta,Idrus,,35,,,,,,,
,13,,,"Dari Satu Masa, Dari Satu Tempat",CV. Mus Jakarta,Asrul Sani,,35,,,,,,,
,13,,,Dari Sunyi KE Bunyi ,Grafiti Jakarta,Hartojo Andang ,,35,,,,,,,
,18,,,Dasar-Dasar Kefarmasian,Pilar Utama Mandiri Jaktim ,"Hendrik M, Diniah A",,2017,,,,,,,
,18,,,Dasar-Dasar Kefarmasian Kelas X,Buku Kedokteran ,Ai Kurasein,,2017,,,,,,,
,18,,,Dasar-Dasar Kefarmasian Kelas XI,Buku Kedokteran ,Aster Nila,,2017,,,,,,,
,13,,,Dewi Sartika ,Kemendikbud Jakarta ,Rochiat W,,1985,,,,,,,
,17,,,Diagnosis Keperawatan,Buku Kedokteran Indonesia,Judith M,,32,,,,,,,
,13,,,Diantara Kaliprogo Dan Kalipongo,Mitra Gama Media Jakarta ,Khisna Miha,,1995,,,,,,,
,13,,,Ditengah Keluarga,Pustaka Jaya Jakarta,Ajib Rosidi,,33,,,,,,,
,13,,,Dunia Semata Wayang ,Hihkayat Jakarta ,Imam Budisan,,35,,,,,,,
,13,,,Efrosina,Cakra Budaya Indo Jakarta ,Cecep Syamsul,,35,,,,,,,
,13,,,Empat Kumpulan Sajak,Pustaka Jaya Jakarta,Rendra,,35,,,,,,,
,,,,Ensiklopedi Islam ,,,,,,,,,,,
