No,Kode DDC,Jenis Buku,Sumber Buku,Kategori Buku,Judul Buku,Penerbit,Pengarang,ISBN,Buku Kelas,Tahun Terbit,Tinggi Buku (cm),Tgl Penerimaan,Jml Halaman (lembar),Jml Eksemplar (pcs),Stok Buku (pcs),Rak Buku,Gambr Buku
B00001,18,2,2,1,Farmakologi Jilid 1,Pilar Utama Mandiri,"Nur Salimi Dwi Sakti, S. Far, Apt dkk",978-602-6220-61-5,XI,2017,25,  ,140,140,22,1,B00001.jpg
B00002,18,2,1,1,Farmakologi Jilid 2,Pilar Utama Mandiri,"Rahayu Prihatin, S. Far., Apt dkk",978-602-6220-62-2,XII,2018,25,,70,70,31,1,B00002.jpg
B00003,18,2,1,1,Tanaman Obat Indonesia ,Pilar Utama Mandiri,"Abdur Rahman,S.Si., Apt dkk",978-602-6220-53-0,XI,2017,25,,148,148,8,1,B00003.jpg
B00004,18,2,1,1,Dasar-Dasar Kefarmasian,Pilar Utama Mandiri,"Hendrik, M. Farm., Apt dkk",978-602-6220-66-0,XI,2017,25,,156,156,26,1,B00004.jpg
B00005,18,2,1,1,Keselamatan Kesehatan Kerja Dan Lingkungan Hidup (K3LH),Pilar Utama Mandiri,"Heru Widiarto, S. Farm., Apt",978-602-6220-52-3,XI,2017,25,,128,128,31,1,B00005.jpg
B00006,18,2,1,1,Pelayanan Farmasi Jilid 1,Pilar Utama Mandiri,"Abdur Rahman,S.Si., Apt dkk",978-602-6220-64-6,XI,2018,25,,168,168,6,1,B00006.jpg
B00007,18,2,1,1,Pelayanan Farmasi Jilid 2,Pilar Utama Mandiri,"Fitri sholechah, s. Farm., Apt dkk",978-602-6220-65-3,XII,2018,25,,140,140,54,1,B00007.jpg
B00008,18,2,1,1,Farmakognonsi,Pilar Utama Mandiri,"Supriani, M Sc., Apt dkk",978-602-6220-55-4,XI,2018,25,,132,132,26,1,B00008.jpg
B00009,18,2,1,1,Kimia Farmasi Jilid 1,Pilar Utama Mandiri,"Ardi Yuli Wardani, S.si dkk",978-602-6220-57-8,XI,2018,25,,76,76,8,1,B00009.jpg
B00010,18,2,1,1,Perundang-Undangan Kesehatan,Pilar Utama Mandiri,"Arip, S.Farm., Apt dkk",978-602-6220-51-6,XI,2017,25,,154,154,61,1,B00010.jpg
B00011,18,2,1,1,Modul Menerapkan Pembuatan Sediaan Obat sesuai resep dokter dibawah pengawasan apoteker                                                                                                                                                                                                                                                           ,Erlangga,"Maryani, S.Farm., Apt",978-602-241-315-8,XI,2013,26,,61,61,35,1,B00011.jpg
B00012,18,2,1,1,Melaksanakan Kerjasama dengan Kolega dan Pelanggan,Erlangga,Sri Muharni dkk,978-602-298-656-0,XI,2016,26,,76,76,2,1,B00012.jpg
B00013,18,2,1,1,Mendeskripsikan Penggolongan Obat,Erlangga,"Sri Muharni Budiningsih, Apt",978-602-298-662-5,XI,2016,26,,86,86,11,1,B00013.jpg
B00014,18,2,1,1,Memahami Teknik Pembuatan Sediaan Obat dalam Skala Kecil dan Skala Industri Jilid 1,Erlangga,"Maryani, S.Farm., Apt",978-602-298-532-7,XI,2015,26,,94,94,21,1,B00014.jpg
B00015,17,2,1,1,Anatomi Fisiologi,Pilar Utama Mandiri,"Rudi Fahrudin,SMK.,M.Pd",978-602-6220-35-6,XI,2017,25,,170,170,23,1,B00015.jpg
B00016,17,2,1,1,Komunikasi Keperawatan ,Pilar Utama Mandiri,"Supanjiono,S. Kep. Ners dkk",978-602-6220-14-1,XI,2017,25,,102,102,25,1,B00016.jpg
B00017,17,2,1,1,Ilmu Penyakit Dan Penunjang Diagnostik Jilid 1,Pilar Utama Mandiri,"dr. Anggarini Zaenab, MM dkk",978-602-6220-38-7,XI,2018,25,,148,148,2,1,B00017.jpg
B00018,17,2,1,1,Ilmu Penyakit Dan Penunjang Diagnostik Jilid 2,Pilar Utama Mandiri,"dr. Anggarini Zaenab, MM dkk",978-602-6220-39-4,XII,2018,25,,156,156,10,1,B00018.jpg
B00019,17,2,1,1,ilmu Kesehatan Masyarakat,Pilar Utama Mandiri,"Wahyu Sulistiani, S.Kep.Ns",978-602-6220-36-3,XI,2017,25,,118,118,48,1,B00019.jpg
B00020,17,2,1,1,Konsep Dasar Keperawatan  Jilid 1,Pilar Utama Mandiri,"Supanjiono,S. Kep. Ners dkk",978-602-6220-41-7,XI,2018,25,,2,2,22,1,B00020.jpg
B00021,17,2,1,1,Konsep Dasar Keperawatan  Jilid 2,Pilar Utama Mandiri,"Ns. Tuti Asrianti Utam, SE., S.Kep., M.Kep dkk",978-602-6220-42-5,XII,2018,25,,90,90,59,1,B00021.jpg
B00022,17,2,1,1,Konsep Dasar Keperawatan  Jilid 3,Pilar Utama Mandiri,"Ns. Tuti Asrianti Utam, SE., S.Kep., M.Kep dkk",978-602-6220-43-1,XII,2017,25,,88,88,42,1,B00022.jpg
B00023,17,2,1,1,Kebutuhan Dasar Manusia Jilid 1,Pilar Utama Mandiri,Dewi Puspitasari dkk,978-602-6220-45-5,XI,2018,25,,94,94,2,1,B00023.jpg
B00024,17,2,1,1,Kebutuhan Dasar Manusia Jilid 2,Pilar Utama Mandiri,Dewi Puspitasari dkk,978-602-6220-46-2,XII,2017,25,,118,118,13,1,B00024.jpg
B00025,17,2,1,1,Ketrampilan Dasar Tindakan Keperawatan Jilid 1,Pilar Utama Mandiri,"Dhanik Tri Hastuti, S.Kep.,Ns dkk",978-602-6220-48-6,X,2018,25,,140,140,4,1,B00025.jpg
B00026,17,2,1,1,Ketrampilan Dasar Tindakan Keperawatan Jilid 2,Pilar Utama Mandiri,"Dhanik Tri Hastuti, S.Kep.,Ns dkk",978-602-6220-49-3,XI,2018,25,,80,80,24,1,B00026.jpg
B00027,17,2,1,1,Ketrampilan Dasar Tindakan Keperawatan Jilid 3,Pilar Utama Mandiri,"Dhanik Tri Hastuti, S.Kep.,Ns dkk",,XII,,,,124,124,39,1,B00027.jpg
B00028,18,2,1,1,Farmakologi dan Terapi Edisi lima,FKUI Jakarta,Dep. Farmakologi FKUI,978-979-1610-46-7,X,2007,25,,931,931,4,2,B00028.jpg
B00029,18,2,1,4,Obat-Obat Penting,PT. Gramedia Jakarta,Drs. Tan Hoan Tjay dkk,978-602-10995,X,1979,25,,969,969,1,2,B00029.jpg
B00030,18,2,1,4,ISO Farmakoterapi ,PT. ISFI Jakarta,"Prof. Dr Elin Yulinah Sukandar,. Apt",978-979-18514-1-1,X,2009,25,,1022,1022,1,2,B00030.jpg
B00031,18,2,1,4,Farmakope Indonesia Edisi Ke 3,Departemen Kesehatan RI,Dr. Mirdan Sirait,,X,1979,20,,920,920,2,2,B00031.jpg
B00032,18,2,1,4,Informasi Spesialite Indonesia 2016,Jurnal Farmasi Indonesia ,Tim ISO Indonesia ,854-4492,X,2016,20,,628,368,2,2,B00032.jpg
B00033,18,2,1,4,Perhitungan Dosis Edisi  7,Erlangga,Mary Jo Boyer,978-979-099-764-8,X,2009,20,,368,368,2,2,B00033.jpg
B00034,18,2,1,4,ISO 2017/2018,PT. ISFI Jakarta Barat,"Drs. M Dani Pratomo, Apt",0854-4492,X,2005,20,,655,655,1,2,B00034.jpg
B00035,18,2,1,1,Ilmu Meracik Obat,UGM Press,Moh. Anif,979-420-432-3,X,2010,20,,231,231,1,2,B00035.jpg
B00036,17,2,1,1,Diagnosis Keperawatan,EGC,Nanda International,978-979-044-134-7,X,2018,20,,671,671,2,2,B00036.jpg
B00037,17,2,1,6,Kamus Saku Kedokteram Dorland Edisi 25,EGC,Dr. Popy Kumala dkk,979-448-410-5,X,1998,20,,1210,1210,4,2,B00037.jpg
B00038,17,2,1,6,Kamus Keperawatan,Wacana Intelektual,Dr. Mayapada ,978-602-8-118-583,X,2008,20,,640,640,2,2,B00038.jpg
B00039,17,2,1,1,Diagnosis Keperawatan,EGC,Ns. Esty Wahyuningsih,978-979-044-182-8,X,1988,20,,1214,1214,1,2,B00039.jpg
B00040,17,2,1,6,Kamus Keperawatan,Paramedia ,Rosdiana A. R,979-602-89-36187,X,2008,20,,640,640,3,2,B00040.jpg
B00041,17,2,1,6,Kamus Keperawatan,Dinamika,Rahayuni J,978-602-8936-101,XI,2008,20,,640,640,3,2,B00041.jpg
B00042,17,2,1,1,Asuhan Keperawatan Praktis Jilid 2,Media Action,"Amin Huda Nuarif, S. Kep., Ns dkk",978-602-72002-6-5,X,2016,20,,435,435,4,2,B00042.jpg
B00043,17,2,1,1,Asuhan Keperawatan Praktis Jilid 1,Media Action,"Amin Huda Nuarif, S. Kep., Ns dkk",978-602-72002-5-8,X,2016,20,,440,440,5,2,B00043.jpg
B00044,17,2,1,1,Psikologi Keperawatan,Rajawali Press,"Prof. Dr. Zulfan Saam, M.S dkk",978-979-769-458-6,X,2012,20,,214,214,1,2,B00044.jpg
B00045,17,2,1,1,Kebutuhan Dasar Manusia,Penerbbit Andi,"Yeni Lestari, S.Kep dkk",978-979-29-6387-8,X,2017,25,,180,180,1,2,B00045.jpg
B00046,17,2,1,1,Anatomi Fisiologi Dan Siklus Kehhidupan Manusia,Medical Book,Lidia Widia,978-602-1547-86-1,X,2015,25,,180,180,1,2,B00046.jpg
B00047,17,2,1,1,Pemgantar Kebutuhan Dasar Manusia ,Salemba Medika,A. Aziz Alimul Hidayat,978-602-1163-15-3,X,2014,25,,276,276,1,2,B00047.jpg
B00048,17,2,1,1,Anamnesa dan Pemeriksaan Fisik,Erlangga Medical Series, Jonathan Gleadle,979-781-822-5,X,2007,25,,202,202,1,2,B00048.jpg
B00049,17,2,1,1,Praktik Keperawatan Dasar,EGC,Jane F. Budhi. S. Kep,978-979-044-355-6,X,2002,25,,108,108,3,2,B00049.jpg
B00050,3,2,1,1,Pendidikan Agama Islam dan Budi Pekerti,Kemendikbud,Nelty Khairiyah dkk,978-602-427-042-1,X,2017,25,,202,202,86,2,B00050.jpg
B00051,12,2,1,1,Bahasa Inggris,Kemendikbud,Utami Widianti,978-602-427-106-0,X,2017,25,,224,224,16,2,B00051.jpg
B00052,12,2,1,1,Forward An English,Erlangga,Shyla K. Lande dkk,978-602-434-654-6,XI,2017,25,,185,185,122,3,B00052.jpg
B00053,12,2,1,1,Forward An English,Erlanggga,Shyla K. Lande dkk,978-602-434-653-9,X,2017,25,,236,236,54,3,B00053.jpg
B00054,12,2,1,1,Bahasa Inggris,Kemendikbud,Emi Emilia  dkk,978-602-427-106-0,XI,2017,25,,170,170,97,3,B00054.jpg
B00055,12,2,1,1,Bahasa Inggris Semester 2,Kemendikbud,Helena dkk,978-602-282-479-4,XI,2017,25,,128,128,10,3,B00055.jpg
B00056,18,2,1,1,Kimia Farmasi Jilid 2,Pilar Utama Mandiri,"Ardi Yuli Wardani, S.si dkk",978-602-6220-59-8,XI,2018,25,,88,88,33,2,B00056.jpg
B00057,12,2,1,1,Forward An English ,Erlangga,Eka Mulya Astuti dkk,978-602-298-805-2,XII,2018,25,,149,149,28,3,B00057.jpg
B00058,12,2,1,1,Forward An English,Erlangga,Shyla K. Lande dkk,978-602-434-655-3,XII,2019,25,,182,182,143,3,B00058.jpg
